date,spot,lower_short,upper_short,net_credit,max_profit,max_loss,result,pnl,exit_time
2026-02-10,60747.8,60500,61000,315.89,4738.35,-238.35,FULL_PROFIT,4738.35,15:15:00
2026-02-12,60827.75,60600,61100,316.3,4744.5,-244.5,FULL_PROFIT,4744.5,15:15:00
2026-02-18,61266.0,61000,61500,318.58,4778.7,-278.7,PARTIAL_LOSS,139.35,14:15:00
2026-02-24,61187.0,60950,61450,318.17,4772.55,-272.55,PARTIAL_LOSS,136.28,12:45:00
2026-02-25,61139.1,60900,61400,317.92,4768.8,-268.8,PARTIAL_LOSS,134.4,12:45:00
2026-02-26,61071.75,60800,61300,317.57,4763.55,-263.55,FULL_PROFIT,4763.55,15:15:00
